team_name,game_date,home_team,home_team_score,visitor_team,visitor_team_score,season,status,home_team_win,total_wins_last_10
ATL,2024-03-02,BKN,114,ATL,102,2023,Final,True,4.0
ATL,2024-03-05,NYK,100,ATL,116,2023,Final,False,4.0
ATL,2024-03-06,ATL,112,CLE,101,2023,Final,True,4.0
ATL,2024-03-08,MEM,92,ATL,99,2023,Final,False,4.0
ATL,2024-03-10,ATL,103,NOP,116,2023,Final,False,4.0
ATL,2024-03-13,POR,106,ATL,102,2023,Final,True,4.0
ATL,2024-03-15,UTA,124,ATL,122,2023,Final,True,4.0
ATL,2024-03-17,LAC,93,ATL,110,2023,Final,False,4.0
ATL,2024-03-18,LAL,136,ATL,105,2023,Final,True,4.0
ATL,2024-03-21,PHX,128,ATL,115,2023,Final,True,4.0
BKN,2024-03-04,BKN,102,MEM,106,2023,Final,False,2.0
BKN,2024-03-05,BKN,112,PHI,107,2023,Final,True,2.0
BKN,2024-03-07,DET,118,BKN,112,2023,Final,True,2.0
BKN,2024-03-09,CHA,110,BKN,99,2023,Final,True,2.0
BKN,2024-03-10,CLE,101,BKN,120,2023,Final,False,2.0
BKN,2024-03-13,ORL,114,BKN,106,2023,Final,True,2.0
BKN,2024-03-16,IND,121,BKN,100,2023,Final,True,2.0
BKN,2024-03-17,SAS,122,BKN,115,2023,Final,True,2.0
BKN,2024-03-19,BKN,91,NOP,104,2023,Final,False,2.0
BKN,2024-03-21,MIL,115,BKN,108,2023,Final,True,2.0
BOS,2024-03-05,CLE,105,BOS,104,2023,Final,True,8.0
BOS,2024-03-07,DEN,115,BOS,109,2023,Final,True,8.0
BOS,2024-03-09,PHX,107,BOS,117,2023,Final,False,8.0
BOS,2024-03-11,POR,99,BOS,121,2023,Final,False,8.0
BOS,2024-03-12,UTA,107,BOS,123,2023,Final,False,8.0
BOS,2024-03-14,BOS,127,PHX,112,2023,Final,True,8.0
BOS,2024-03-17,WAS,104,BOS,130,2023,Final,False,8.0
BOS,2024-03-18,BOS,119,DET,94,2023,Final,True,8.0
BOS,2024-03-20,BOS,122,MIL,119,2023,Final,True,8.0
BOS,2024-03-22,DET,102,BOS,129,2023,Final,False,8.0
CHA,2024-03-01,PHI,121,CHA,114,2023,Final,True,2.0
CHA,2024-03-03,TOR,111,CHA,106,2023,Final,True,2.0
CHA,2024-03-05,CHA,89,ORL,101,2023,Final,False,2.0
CHA,2024-03-08,WAS,112,CHA,100,2023,Final,True,2.0
CHA,2024-03-09,CHA,110,BKN,99,2023,Final,True,2.0
CHA,2024-03-11,DET,114,CHA,97,2023,Final,True,2.0
CHA,2024-03-13,MEM,98,CHA,110,2023,Final,False,2.0
CHA,2024-03-15,CHA,96,PHX,107,2023,Final,False,2.0
CHA,2024-03-16,PHI,109,CHA,98,2023,Final,True,2.0
CHA,2024-03-19,ORL,112,CHA,92,2023,Final,True,2.0
CHI,2024-03-04,SAC,109,CHI,113,2023,Final,False,6.0
CHI,2024-03-06,UTA,117,CHI,119,2023,Final,False,6.0
CHI,2024-03-07,GSW,122,CHI,125,2023,Final,False,6.0
CHI,2024-03-09,LAC,112,CHI,102,2023,Final,True,6.0
CHI,2024-03-11,CHI,92,DAL,127,2023,Final,False,6.0
CHI,2024-03-13,IND,129,CHI,132,2023,Final,False,6.0
CHI,2024-03-14,CHI,111,LAC,126,2023,Final,False,6.0
CHI,2024-03-16,CHI,127,WAS,98,2023,Final,True,6.0
CHI,2024-03-18,CHI,110,POR,107,2023,Final,True,6.0
CHI,2024-03-21,HOU,127,CHI,117,2023,Final,True,6.0
CLE,2024-03-05,CLE,105,BOS,104,2023,Final,True,4.0
CLE,2024-03-06,ATL,112,CLE,101,2023,Final,True,4.0
CLE,2024-03-08,CLE,113,MIN,104,2023,Final,True,4.0
CLE,2024-03-10,CLE,101,BKN,120,2023,Final,False,4.0
CLE,2024-03-11,CLE,111,PHX,117,2023,Final,False,4.0
CLE,2024-03-13,NOP,95,CLE,116,2023,Final,False,4.0
CLE,2024-03-16,HOU,117,CLE,103,2023,Final,True,4.0
CLE,2024-03-18,IND,103,CLE,108,2023,Final,False,4.0
CLE,2024-03-20,CLE,104,MIA,107,2023,Final,False,4.0
CLE,2024-03-22,MIN,104,CLE,91,2023,Final,True,4.0
DAL,2024-03-03,DAL,116,PHI,120,2023,Final,False,7.0
